source_lot_id,noticeNumber,title,region,etp_code_original,detected_platform,detection_method,matched_value,confidence,notice_url,comment
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
21000029690000002141_1,21000029690000002141,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107988)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002141,
21000029690000002140_1,21000029690000002140,"О предоставлении в аренду земельного участка площадью 1149 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107992)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002140,
21000029690000002139_1,21000029690000002139,"О предоставлении в аренду земельного участка площадью 1141 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107993)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002139,
21000029690000002138_1,21000029690000002138,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108000)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002138,
25000043920000000707_1,25000043920000000707,"Вторичные торги с понижением цены на 15%:Поручение № 65/Т. Земельный участок, площадью 1062 кв.м., кадастровый номер 70:22:0020701:98, ограничение (обременение) права: запрет. Собственник имущества: Девятов А.С. Местонахождение имущества: Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Томская область, ЗАТО Северск, НСТСЛ «Спутник», квартал 5, улица 1, участок 7.",,,ETP_TORGI_GOV,url_domain,torgi.gov.ru,high,https://torgi.gov.ru/new/api/public/notices/noticeNumber/25000043920000000707,
21000029690000002143_1,21000029690000002143,"О предоставлении в аренду земельного участка площадью 1145 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@108014)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002143,
21000029690000002142_1,21000029690000002142,"О предоставлении в аренду земельного участка площадью 1150 кв.м для индивидуального жилищного строительства, местоположение: муниципальное образование Веневский муниципальный округ Тульской области, д. Сетка, (@107986)",,,EXTERNAL_SITE,url_domain,mizo.tularegion.ru,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000029690000002142,
